Name,Code
Kalskag Airport,KLG
McGrath Airport,MCG
Mountain Village Airport,MOU
Aniak Airport,ANI
Chevak Airport,VAK
Wrangell Airport,WRG
Kalaupapa Airport,LUP
Aleknagik / New Airport,WKK
Mercer County Airport,BLF
Mid Delta Regional Airport,GLH
Tri Cities Airport,PSC
Akutan Seaplane Base,KQA
Lopez Island Airport,LPS
Waikoloa Heliport,WKL
Worcester Regional Airport,ORH
Bremerton National Airport,PWT
Spencer Municipal Airport,SPW
Jefferson City Memorial Airport,JEF
Provincetown Municipal Airport,PVC
Fullerton Municipal Airport,FUL
Concord Regional Airport,\N
Friedman Memorial Airport,SUN
Mason City Municipal Airport,MCW
Phoenix-Mesa-Gateway Airport,AZA
Anaktuvuk Pass Airport,AKP
Anvik Airport,ANV
Atqasuk Edward Burnell Sr Memorial Airport,ATK
Gambell Airport,GAM
Hooper Bay Airport,HPB
Kaltag Airport,KAL
St Mary's Airport,KSM
Kivalina Airport,KVL
Mekoryuk Airport,MYU
Ruby Airport,RBY
Shishmaref Airport,SHH
Savoonga Airport,SVA
Noatak Airport,WTK
Arctic Village Airport,ARC
Hagerstown Regional Richard A Henson Field,HGR
Sand Point Airport,SDP
Deering Airport,DRG
Igiugig Airport,IGG
New Stuyahok Airport,KNW
King Cove Airport,KVC
Port Heiden Airport,PTH
Togiak Airport,TOG
Delta County Airport,ESC
Yakutat Airport,YAK
Williamson County Regional Airport,MWA
Ford Airport,IMT
Marquette Airport,\N
Allakaket Airport,AET
Michigan City Municipal Airport,MGC
Seward Airport,SWD
Grand Marais Cook County Airport,GRM
Wausau Downtown Airport,AUW
Delaware County Johnson Field,MIE
Purdue University Airport,LAF
Brown County Airport,\N
North Las Vegas Airport,VGT
Kenosha Regional Airport,ENW
Montrose Regional Airport,MTJ
Riverton Regional Airport,RIW
Eastern Oregon Regional At Pendleton Airport,PDT
Wittman Regional Airport,OSH
Pangborn Memorial Airport,EAT
NAS Fort Worth JRB/Carswell Field,\N
Gary Chicago International Airport,GYY
Brainerd Lakes Regional Airport,BRD
Greenbrier Valley Airport,LWB
Pitt Greenville Airport,PGV
Chefornak Airport,CYF
Oxnard Airport,OXR
Schenectady County Airport,SCH
Northeast Florida Regional Airport,UST
Charles M. Schulz Sonoma County Airport,STS
Kissimmee Gateway Airport,ISM
Lake City Gateway Airport,LCQ
Deland Municipal Sidney H Taylor Field,\N
Haller Airpark,\N
Logan-Cache Airport,LGU
Brigham City Airport,BMC
Malad City Airport,MLD
Aspen-Pitkin Co/Sardy Field,ASE
Kerrville Municipal Louis Schreiner Field,ERV
Sussex County Airport,GED
Great Bend Municipal Airport,GBN
Hays Regional Airport,HYS
Spirit of St Louis Airport,SUS
Ely Municipal Airport,LYU
Grand Rapids Itasca Co-Gordon Newstrom field,GPZ
Thief River Falls Regional Airport,TVF
Eagle River Union Airport,EGV
Lakeland-Noble F. Lee Memorial field,ARV
Ankeny Regional Airport,IKV
Corpus Christi Naval Air Station/Truax Field,NGP
Catalina Airport,AVX
Mojave Airport,MHV
Hutchinson Municipal Airport,HUT
Rosecrans Memorial Airport,STJ
Volk Field,VOK
Gunnison Crested Butte Regional Airport,GUC
Zamperini Field,TOA
Manistee Co Blacker Airport,MBL
Charlotte County Airport,PGD
Northern Aroostook Regional Airport,WFK
Chautauqua County-Jamestown Airport,JHW
Lake Cumberland Regional Airport,SME
Shenandoah Valley Regional Airport,SHD
Devils Lake Regional Airport,DVL
Dickinson Theodore Roosevelt Regional Airport,DIK
Sidney Richland Municipal Airport,SDY
Chadron Municipal Airport,CDR
Alliance Municipal Airport,AIA
Mc Cook Ben Nelson Regional Airport,MCK
The Florida Keys Marathon Airport,MTH
Dawson Community Airport,GDV
L M Clayton Airport,OLF
Yellowstone Airport,WYS
San Luis Valley Regional Bergman Field,ALS
Canyonlands Field,CNY
Ely Airport Yelland Field,ELY
Vernal Regional Airport,VEL
Sierra Blanca Regional Airport,SRR
Show Low Regional Airport,SOW
McCall Municipal Airport,MYL
Lemhi County Airport,SMN
Mammoth Yosemite Airport,MMH
Friday Harbor Airport,FRD
Orcas Island Airport,ESD
Astoria Regional Airport,AST
Newport Municipal Airport,ONP
Emmonak Airport,EMK
Unalakleet Airport,UNK
Ugnu-Kuparuk Airport,UUK
Shageluk Airport,SHX
Nuiqsut Airport,NUI
Eek Airport,EEK
Kasigluk Airport,KUK
Kwethluk Airport,KWT
Kwigillingok Airport,KWK
Marshall Don Hunter Sr Airport,MLL
Russian Mission Airport,RSH
Koliganek Airport,KGK
Manokotak Airport,KMO
Chalkyitsik Airport,CIK
Eagle Airport,EAA
Hughes Airport,HUS
Huslia Airport,HSL
Nulato Airport,NUL
Venetie Airport,VEE
Beaver Airport,WBQ
Central Airport,CEM
Shungnak Airport,SHG
Inyokern Airport,IYK
Visalia Municipal Airport,VIS
Merced Regional Macready Field,MCE
Phoenix Goodyear Airport,\N
Angoon Seaplane Base,AGN
Elfin Cove Seaplane Base,ELV
Funter Bay Seaplane Base,FNR
Hoonah Airport,HNH
Kake Airport,AFE
Metlakatla Seaplane Base,MTM
Hydaburg Seaplane Base,HYG
Egegik Airport,EGX
Perryville Airport,KPV
Pilot Point Airport,PIP
South Naknek Nr 2 Airport,WSN
Akhiok Airport,AKK
Karluk Airport,KYK
Larsen Bay Airport,KLN
Ambler Airport,ABL
Buckland Airport,BKC
Bob Baker Memorial Airport,IAN
Kobuk Airport,OBU
Robert (Bob) Curtis Memorial Airport,ORV
Selawik Airport,WLK
Brevig Mission Airport,KTS
Elim Airport,ELI
Golovin Airport,GLV
Teller Airport,TLA
Wales Airport,WAA
White Mountain Airport,WMO
Koyuk Alfred Adams Airport,KKA
St Michael Airport,SMK
Shaktoolik Airport,SKK
Tin City Long Range Radar Station Airport,TNC
Atka Airport,AKB
Yakataga Airport,CYT
Alakanuk Airport,AUK
Kipnuk Airport,KPN
False Pass Airport,KFP
Nelson Lagoon Airport,NLG
Port Moller Airport,PML
Klawock Airport,KLW
Quinhagak Airport,KWN
Kotlik Airport,KOT
Koyukuk Airport,KYU
Scammon Bay Airport,SCM
Nondalton Airport,NNL
Kongiganak Airport,KKH
Nikolai Airport,NIB
Akiak Airport,AKI
Wainwright Airport,AIN
Chenega Bay Airport,NCN
Tok Junction Airport,TKJ
Circle City /New/ Airport,IRC
Sleetmute Airport,SLQ
Healy River Airport,HKB
Klawock Seaplane Base,AQC
Minchumina Airport,MHM
Manley Hot Springs Airport,MLY
Eastern WV Regional Airport/Shepherd Field,MRB
Rock Hill - York County Airport,RKH
Allegheny County Airport,AGC
Cecil Airport,\N
Fulton County Airport Brown Field,FTY
Ohio State University Airport,OSU
Addison Airport,ADS
Destin Executive Airport,DTS
Kinston Regional Jetport At Stallings Field,ISO
First Flight Airport,FFA
Provo Municipal Airport,PVU
Steamboat Springs Bob Adams Field,SBS
Delta Municipal Airport,DTA
Richfield Municipal Airport,RIF
Carbon County Regional/Buck Davis Field,PUC
Los Alamos Airport,LAM
Lake Havasu City Airport,HII
Winslow Lindbergh Regional Airport,INW
Douglas Municipal Airport,DGL
Bartow Municipal Airport,BOW
Livermore Municipal Airport,LVK
Mariposa Yosemite Airport,RMY
Jacqueline Cochran Regional Airport,TRM
Santa Monica Municipal Airport,SMO
Bermuda Dunes Airport,UDD
Scottsdale Airport,ZSY
Olympia Regional Airport,OLM
Yolo County Davis Woodland Winters Airport,DWA
Garfield County Regional Airport,RIL
Shively Field,SAA
DeKalb Peachtree Airport,PDK
Monroe County Airport,BMG
Witham Field,SUA
Morristown Municipal Airport,MMU
Napa County Airport,APC
Brown Field Municipal Airport,SDM
Venice Municipal Airport,VNC
Palm Beach County Glades Airport,PHK
Northwest Florida Beaches International Airport,ECP
San Bernardino International Airport,SBD
San Carlos Airport,SQL
Rocky Mount Wilson Regional Airport,RWI
Whittier Airport,\N
Soldotna Airport,SXQ
Gillespie Field,SEE
San Clemente Island Naval Auxiliary Landing Field,\N
Truckee Tahoe Airport,TKF
Cobb County-Mc Collum Field,RYY
Dell Flight Strip,4U9
Mission Field,LVM
Big Timber Airport,6S0
Tulip City Airport,BIV
Monument Valley Airport,\N
Lakeland Linder Regional Airport,LAL
Indianola Municipal Airport,IDL
French Valley Airport,RBK
Carl R Keller Field,PCW
Dayton-Wright Brothers Airport,MGY
Richmond Municipal Airport,RID
Findlay Airport,FDY
Black Hills Airport-Clyde Ice Field,SPF
Olive Branch Airport,OLV
Rocky Mountain Metropolitan Airport,BJC
Salem Municipal Airport/McNary Field,SLE
Tunica Municipal Airport,UTM
Lawrence J Timmerman Airport,MWC
Southern Wisconsin Regional Airport,JVL
Arlington Municipal Airport,GKY
Gwinnett County Briscoe Field,LZU
Bowling Green Warren County Regional Airport,BWG
Richard Lloyd Jones Jr Airport,RVS
Bryce Canyon Airport,BCE
Burlington Alamance Regional Airport,\N
New Century Aircenter Airport,JCI
Easton Newnam Field,ESN
Yuba County Airport,MYV
Halliburton Field,DUC
Garner Field,UVA
Lewis University Airport,LOT
Buchanan Field,CCR
Ocean Reef Club Airport,OCA
Ohio University Snyder Field,\N
Springfield-Beckley Municipal Airport,SGH
Philip Billard Municipal Airport,TOP
Benson Airstrip,\N
Rough River State Park Airport,\N
Smyrna Airport,\N
Franklin County Airport,\N
Collin County Regional At Mc Kinney Airport,TKI
Chicago Executive Airport,PWK
Southwest Washington Regional Airport,KLS
Wilmington Airpark,ILN
Marana Regional Airport,AVW
Casa Grande Municipal Airport,CGZ
Mobile Airport,\N
Buckeye Municipal Airport,BXK
Gila Bend Municipal Airport,E63
McMinn County Airport,MMI
Sterling Municipal Airport,STK
Rawlins Municipal Airport/Harvey Field,RWL
Essex County Airport,CDW
Lee C Fine Memorial Airport,AIZ
Thomasville Regional Airport,TVI
Henderson Executive Airport,HSH
Henry Tift Myers Airport,TMA
Phoenix Deer Valley Airport,DVT
Republic Airport,\N
South Texas Regional Airport at Hondo,HDO
McKinley National Park Airport,MCL
Lake Hood Seaplane Base,LHD
Prospect Creek Airport,PPC
Wheeling Ohio County Airport,HLG
Fitzgerald Municipal Airport,FZG
Aransas County Airport,RKP
Crisp County Cordele Airport,CKF
Ormond Beach Municipal Airport,OMN
Portland Troutdale Airport,TTD
Portland Hillsboro Airport,HIO
One Police Plaza Heliport,\N
Bend Municipal Airport,\N
Christmas Valley Airport,\N
Burns Municipal Airport,\N
Prineville Airport,\N
Red Bluff Municipal Airport,\N
Marin County Airport - Gnoss Field,\N
Lake County Airport,\N
Tillamook Airport,\N
Ontario Municipal Airport,\N
Columbia Gorge Regional the Dalles Municipal Airport,\N
Montgomery County Airpark,GAI
Charlevoix Municipal Airport,CVX
Flagler County Airport,XFL
Morrisville Stowe State Airport,MVL
Dallas Executive Airport,RBD
Westerly State Airport,WST
Block Island State Airport,BID
Nightmute Airport,NME
Toksook Bay Airport,OOK
Decatur County Industrial Air Park,BGE
Silver Springs Airport,SPZ
Whiteman Airport,WHP
Madera Municipal Airport,MAE
Apalachicola Regional Airport,AAF
Douglas Municipal Airport,DQH
St Lucie County International Airport,FRP
Taunton Municipal King Field,TAN
Plymouth Municipal Airport,PYM
Quonset State Airport,OQU
Norwood Memorial Airport,OWD
Barnes Municipal Airport,BAF
Windham Airport,IJD
Orange County Airport,MGJ
Capital City Airport,CXY
Marshfield Municipal George Harlow Field,GHG
Danbury Municipal Airport,DXR
Boire Field,ASH
Lawrence Municipal Airport,LWM
Waterbury Oxford Airport,OXC
Fitchburg Municipal Airport,FIT
Earl L. Small Jr. Field/Stockmar Airport,\N
Cartersville Airport,VPC
Centre-Piedmont-Cherokee County Regional Airport,PYP
Richard B Russell Airport,RMG
Northeast Alabama Regional Airport,GAD
Knoxville Downtown Island Airport,DKX
Barrow County Airport,WDR
Plantation Airpark,JYL
Dalton Municipal Airport,DNN
West Georgia Regional O V Gray Field,CTJ
Lagrange Callaway Airport,LGC
Baldwin County Airport,MLJ
Harris County Airport,PIM
Peachtree City Falcon Field,FFC
Lee Gilmer Memorial Airport,GVL
Harry Clever Field,PHD
Darlington County Jetport Airport,UDG
Hilton Head Airport,HHH
Daniel Field,DNL
Foothills Regional Airport,MRN
Pike County-Hatcher Field,PBX
Mallards Landing Airport,\N
Toccoa Airport - R.G. Letourneau Field,TOC
Fort Worth Alliance Airport,AFW
East Troy Municipal Airport,57C
Lawrence Municipal Airport,LWC
Wellington Municipal Airport,EGT
Pompano Beach Airpark,PMP
Shelby County Airport,EET
Sky Ranch At Carefree Airport,\N
Indianapolis Metropolitan Airport,UMP
London-Corbin Airport/Magee Field,LOZ
Simmons Army Air Field,FBG
John H Batten Airport,RAC
Redlands Municipal Airport,REI
Flabob Airport,RIR
Tacoma Narrows Airport,TIW
Jack Edwards Airport,JKA
Hazleton Municipal Airport,HZL
Greater Cumberland Regional Airport,CBE
Sugar Loaf Shores Airport,\N
Tri-County Regional Airport,LNR
Price County Airport,\N
Monroe Municipal Airport,\N
Joliet Regional Airport,JOT
Illinois Valley Regional Airport-Walter A Duncan Field,VYS
Jackson County Reynolds Field,JXN
Joseph A. Hardy Connellsville Airport,\N
Bedford County Airport,\N
Wings Field,BBX
Okeechobee County Airport,OBE
Sebring Regional Airport,SEF
Avon Park Executive Airport,AVO
Winter Haven Municipal Airport - Gilbert Field,GIF
Zephyrhills Municipal Airport,ZPH
Ocala International Airport - Jim Taylor Field,OCF
Jesup Wayne County Airport,JES
Madison Municipal Airport,52A
Newnan Coweta County Airport,CCO
Thomson-McDuffie County Airport,HQU
Aiken Municipal Airport,AIK
Woodward Field,CDN
Lumberton Regional Airport,LBT
Moore County Airport,SOP
Richmond County Airport,RCZ
Baraboo Wisconsin Dells Airport,DLL
Statesville Regional Airport,SVH
Burlington Municipal Airport,BUU
William T. Piper Memorial Airport,LHV
Zelienople Municipal Airport,\N
Lorain County Regional Airport,LPR
Burke Lakefront Airport,BKL
Chautauqua County-Dunkirk Airport,DKK
South Jersey Regional Airport,VAY
Linden Airport,LDJ
Tri State Steuben County Airport,ANQ
Warsaw Municipal Airport,\N
Van Wert County Airport,VNW
Brooks Field,\N
Genesee County Airport,GVQ
Clearwater Air Park,CLW
Chicago Meigs Airport,CGX
Pickens County Airport,JZP
Grand Strand Airport,CRE
Lansing Municipal Airport,IGQ
Ramona Airport,RNM
Branch County Memorial Airport,OEB
Wilkes Barre Wyoming Valley Airport,WBW
Willoughby Lost Nation Municipal Airport,LNN
Capital City Airport,FFT
Auburn Lewiston Municipal Airport,LEW
Bloyer Field,\N
Marco Island Airport,MRK
Drummond Island Airport,DRM
Gladwin Zettel Memorial Airport,GDW
South Haven Area Regional Airport,LWA
Marshfield Municipal Airport,MFI
Alexander Field South Wood County Airport,ISW
Clinton Municipal Airport,CWI
Beverly Municipal Airport,BVY
Poplar Bluff Municipal Airport,POF
Somerset Airport,\N
Eastport Municipal Airport,EPM
Keokuk Municipal Airport,EOK
St Paul Downtown Holman Field,STP
Oconomowoc Airport,\N
Butler Co Regional Airport - Hogan Field,\N
Fond du Lac County Airport,FLD
Waupaca Municipal Airport,PCZ
Stevens Point Municipal Airport,STE
Luce County Airport,ERY
Galion Municipal Airport,GQQ
Clarksville–Montgomery County Regional Airport,CKV
Lompoc Airport,LPC
Chester County G O Carlson Airport,CTH
Lake Placid Airport,LKP
Lima Allen County Airport,AOH
Malcolm McKinnon Airport,SSI
Beaver County Airport,BFP
Georgetown County Airport,GGE
Hardwick Field,HDI
Renton Municipal Airport,RNT
Brackett Field,POC
Cross City Airport,CTY
Oconee County Regional Airport,CEU
Beech Factory Airport,BEC
Tom B. David Field,\N
Habersham County Airport,\N
Georgetown Municipal Airport,GTU
Old Rhinebeck Airport,\N
Sidney Municipal-Lloyd W Carr Field,SNY
Kalaeloa Airport,\N
Iosco County Airport,ECA
Madison County Executive Airport-Tom Sharp Jr Field,\N
Leesburg Executive Airport,JYO
Anoka County-Blaine Arpt(Janes Field) Airport,\N
Williamson Sodus Airport,SDC
Boulder Municipal Airport,WBU
Palo Alto Airport of Santa Clara County,PAO
Falcon Field,FFZ
Coolidge Municipal Airport,P08
Cottonwood Airport,P52
Ak-Chin Regional Airport,A39
Wickenburg Municipal Airport,E25
Oakland County International Airport,PTK
Dillant Hopkins Airport,EEN
Glasgow Industrial Airport,\N
Iowa City Municipal Airport,IOW
Windom Municipal Airport,MWM
Longview Ranch Airport,\N
Lee Airport,ANP
Pecos Municipal Airport,PEQ
Hattiesburg Bobby L Chain Municipal Airport,HBG
Chan Gurney Municipal Airport,YKN
Hayward Executive Airport,HWD
Ann Arbor Municipal Airport,ARB
Atlanta South Regional Airport/Tara Field,4A7
Comarapa Airport,\N
Immokalee Regional Airport,IMM
Rancho San Simeon Airport,\N
Dinwiddie County Airport,PTB
Sheboygan County Memorial Airport,SBM
Pinal Airpark,MZJ
Glendale Municipal Airport,GEU
Safford Regional Airport,SAD
Sikeston Memorial Municipal Airport,SIK
Floyd Bennett Memorial Airport,GFL
Saratoga County Airport,5B2
Crystal River Airport,CGC
Martin State Airport,MTN
Lincoln Regional Karl Harder Field,LHM
Fostoria Metropolitan Airport,FZI
Eastern Slopes Regional Airport,IZG
Coral Creek Airport,\N
Lakefront Airport,NEW
Coeur D'Alene - Pappy Boyington Field,COE
Beaumont Municipal Airport,BMT
Vermilion Regional Airport,DNV
Space Coast Regional Airport,TIX
Andrau Airpark,AAP
Flying Cloud Airport,FCM
Johnson County Executive Airport,OJC
Brandywine Airport,OQN
Manassas Regional Airport/Harry P. Davis Field,MNZ
Texas Gulf Coast Regional Airport,\N
Shelby County Airport,2H0
Enumclaw Airport,\N
Fairfield County Airport,FDW
Skyhaven Airport,DAW
Newton City-County Airport,EWK
Taszár Air Base,TZR
Fort Bridger Airport,FBR
Prosser Airport,S40
Chehalis Centralia Airport,CLS
Desert Aire Airport,M94
Evanston-Uinta County Airport-Burns Field,EVW
Sabetha Municipal Airport,K83
Mt Pleasant Regional-Faison field,LRO
Souther Field,\N
Weedon Field,EUF
Saluda County Airport,6J4
Dare County Regional Airport,MEO
Auburn Opelika Robert G. Pitts Airport,AUO
Tri Cities Airport,CZG
Bessemer Airport,EKY
Colorado Springs East Airport,A50
Crystal Airport,MIC
Clarke County Airport,23M
W H 'Bud' Barron Airport,DBN
Corvallis Municipal Airport,CVO
El Almendro Airport,\N
San Agustin Airport,\N
Cowra Airport,CWT
Ogden Hinckley Airport,OGD
Robert S Kerr Airport,RKR
Colorado Plains Regional Airport,AKO
Sanderson Field,SHN
Napakiak Airport,WNA
Napaskiak Airport,PKA
Tok Airport,\N
Causey Airport,2A5
Doylestown Airport,DYL
Warren Field,OCW
Hyde County Airport,7W6
Stillwater Regional Airport,\N
Okmulgee Regional Airport,\N
Cushing Municipal Airport,\N
Clinton Sherman Airport,\N
Strother Field,\N
Wiley Post Airport,\N
Shreveport Downtown Airport,\N
Stephenville Clark Regional Airport,\N
Perry Municipal Airport,\N
Hamilton Municipal Airport,\N
Ada Municipal Airport,\N
Mesquite Metro Airport,\N
Denton Municipal Airport,\N
Austin Executive Airport,\N
Lago Vista Tx Rusty Allen Airport,\N
Brenham Municipal Airport,\N
Lakeway Airpark,\N
Iraan Municipal Airport,\N
Kestrel Airpark,\N
Wilkes County Airport,UKF
Charleston Executive Airport,JZI
Danville Regional Airport,DAN
Brookneal/Campbell County Airport,0V4
Cheraw Municipal Airport/Lynch Bellinger Field,CQW
Wauchula Municipal Airport,\N
Conway Horry County Airport,HYW
Asheboro Regional Airport,HBI
Henderson Field,\N
Emporia Greensville Regional Airport,EMV
El Monte Airport,EMT
Kee Field,I16
Stinson Municipal Airport,SSF
Sallisaw Municipal Airport,JSV
Jasper County Airport-Bell Field,JAS
El Dorado Springs Memorial Airport,87K
Marfa Municipal Airport,MRF
Alpine Casparis Municipal Airport,E38
Cable Airport,CCB
Mount Sterling Montgomery County Airport,IOB
Elkhart Municipal Airport,EKI
Nappanee Municipal Airport,C03
Jim Hamilton L.B. Owens Airport,CUB
Grove Municipal Airport,GMJ
Mc Pherson Airport,MPR
Donaldson Center Airport,GYH
Perry Houston County Airport,PXE
Hartsville Regional Airport,HVS
Horace Williams Airport,IGX
Brunswick County Airport,SUT
Chesterfield County Airport,FCI
Henderson Oxford Airport,HNZ
Leesburg International Airport,LEE
Chino Airport,CNO
Madison County Airport,UYF
Paso Robles Municipal Airport,PRB
Half Moon Bay Airport,HAF
General WM J Fox Airfield,WJF
Person County Airport,TDF
Talladega Municipal Airport,ASN
Greenville Downtown Airport,GMU
Mankato Regional Airport,MKT
Troy Municipal Airport,TOI
Merkel Field Sylacauga Municipal Airport,SCD
Enterprise Municipal Airport,EDN
Ryan Field,\N
Thomas C Russell Field,ALX
Meriden Markham Municipal Airport,\N
Ridgely Airpark,\N
New Castle Henry Co. Municipal Airport,UWL
Scott City Municipal Airport,TQK
Brewster Field,HDE
Pratt Regional Airport,PTT
Wahoo Municipal Airport,AHQ
Jim Kelly Field,LXN
Sublette Municipal Airport,19S
Council Bluffs Municipal Airport,CBF
Kokomo Municipal Airport,OKK
Neodesha Municipal Airport,2K7
King Ranch Airport,\N
Elkhart Morton County Airport,EHA
Front Range Airport,FTG
Galesburg Municipal Airport,GBG
Guymon Municipal Airport,GUY
Meade Municipal Airport,MEJ
Turkey Mountain Estates Airport,\N
Ulysses Airport,ULS
Flagler Aerial Spraying Inc Airport,\N
Independence Municipal Airport,IDP
Augusta Municipal Airport,3AU
Larned Pawnee County Airport,LQR
Lampasas Airport,LZZ
Bay City Municipal Airport,BYY
Cox Field,PRX
Coffeyville Municipal Airport,CFV
The Farm Airport,\N
Greeley–Weld County Airport,GXY
General Dewitt Spain Airport,\N
Oryol Yuzhny Airport,OEL
Fremont Municipal Airport,FET
La Grande/Union County Airport,LGD
Pocono Mountains Municipal Airport,MPO
Quakertown Airport,UKT
Banning Municipal Airport,BNG
Karl Stefan Memorial Airport,OFK
Arlington Municipal Airport,AWO
Peter O Knight Airport,TPF
Montauk Airport,MTP
Porter County Municipal Airport,VPZ
Mason County Airport,LDM
Reid-Hillview Airport of Santa Clara County,RHV
Camarillo Airport,\N
Watsonville Municipal Airport,WVI
Williamsburg Jamestown Airport,JGG
Union County Airport,MRT
St Louis Regional Airport,ALN
Chandler Field,AXN
Columbus Municipal Airport,CLU
Curtis Field,BBD
Eastern Sierra Regional Airport,BIH
Baker City Municipal Airport,BKE
Miley Memorial Field,BPI
Ozark Regional Airport,WMH
W K Kellogg Airport,BTL
Burley Municipal Airport,BYI
Northeast Iowa Regional Airport,CCY
Chanute Martin Johnson Airport,CNU
Jacksonville Executive at Craig Airport,CRG
Crossville Memorial Whitson Field,CSV
Davison Army Air Field,DAA
Barstow Daggett Airport,DAG
Deming Municipal Airport,DMN
Desert Rock Airport,DRA
Needles Airport,EED
Duke Field,EGI
Murray Field,EKA
San Marcos Municipal Airport,HYI
Sawyer County Airport,HYR
Kimble County Airport,JCT
Monticello Municipal Ellis Field,LLQ
Derby Field,LOL
Mobridge Municipal Airport,MBG
Mc Comb/Pike County Airport/John E Lewis Field,MCB
Southern Illinois Airport,MDH
Mc Entire Joint National Guard Base,MMT
Brunswick Executive Airport,NHZ
Naval Station Mayport (Admiral David L. Mcdonald Field),NRB
Orangeburg Municipal Airport,OGB
Columbus Municipal Airport,OLU
Ottumwa Regional Airport,OTM
Cairns AAF (Fort Rucker) Air Field,OZR
Ralph Wenz Field,PWY
Dutchess County Airport,POU
New Richmond Regional Airport,RNH
Russell Municipal Airport,RSL
Redwood Falls Municipal Airport,RWF
Salinas Municipal Airport,SNS
Sonora Municipal Airport,SOA
Saline County Regional Airport,SUZ
Tonopah Airport,TPH
Aurora State Airport,UAO
Ukiah Municipal Airport,UKI
University Oxford Airport,UOX
Huntsville Regional Airport,HTV
Miller Field,VTN
Winnemucca Municipal Airport,WMC
West Woodward Airport,WWR
Cape Canaveral AFS Skid Strip,XMR
Homey (Area 51) Airport,\N
Zanesville Municipal Airport,ZZV
Nenana Municipal Airport,ENN
Wasilla Airport,WWA